Codigo;Empresa;Classes;Codigo_Yahoo;Indice_Bovespa;Tipo_Ativo
L1FC34;CHINA LIFE INSURANCE CO LTD;;;;BDR
C1HL34;CHINA MOBILE LTD;;;;BDR
C1HI34;CHINA PETROLEUM & CHEMICAL CORP;;;;BDR
C1MG34;CHIPOTLE MEXICAN GRILL INC;;;;BDR
C1BL34;CHUBB LTD;;;;BDR
C1HT34;CHUNGHWA TELECOM CO LTD;;;;BDR
CHDC34;CHURCH DWIGH;;;;BDR
C1IC34;CIGNA CORP;;;;BDR
CINF34;CINCINNATI;;;;BDR
C1TA34;CINTAS CORP;;;;BDR
CSCO34;CISCO;;;;BDR
CTGP34;CITIGROUP;;;;BDR
C1FG34;CITIZENS FIN;;;;BDR
C1TX34;CITRIX SYSTE;;;;BDR
CLXC34;CLOROX CO;;;;BDR
CHME34;CME GROUP;;;;BDR
C1MS34;CMS ENERGY CORP;;;;BDR
C1EO34;CNOOC LTD;;;;BDR
CTSH34;COGNIZANT;;;;BDR
